	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_2325_8.txt	2325	8	391.051724138	352.346938776	436.0	502.90625	421.666666667	242.333333333	312.340909091	290.4	210.677419355	246.125
alpha_rarefaction_2325_9.txt	2325	9	461.595744681	361.717391304	430.960784314	528.596491228	464.807692308	265.555555556	308.066666667	224.0	198.0	283.730769231
alpha_rarefaction_2788_0.txt	2788	0	456.0	385.49122807	503.192307692	602.245901639	390.901408451	246.047619048	305.818181818	226.176470588	219.088235294	256.277777778
alpha_rarefaction_2788_1.txt	2788	1	460.132075472	485.717391304	447.269230769	468.865853659	364.3	248.666666667	312.784313725	241.029411765	236.107142857	227.026315789
alpha_rarefaction_2788_2.txt	2788	2	413.537313433	445.222222222	417.93220339	517.012345679	397.47826087	266.0	351.222222222	213.833333333	199.027777778	232.976744186
alpha_rarefaction_2788_3.txt	2788	3	397.451612903	388.42	448.8	535.059701493	398.5125	246.0	323.142857143	269.037037037	223.6	249.95
alpha_rarefaction_2788_4.txt	2788	4	420.0	371.016949153	557.88372093	526.863013699	401.710144928	299.526315789	312.9	226.772727273	234.384615385	274.0
alpha_rarefaction_2788_5.txt	2788	5	394.344262295	393.886792453	440.622641509	504.28	385.397058824	252.375	299.266666667	251.888888889	214.774193548	235.023809524
alpha_rarefaction_2788_6.txt	2788	6	389.018518519	429.659574468	490.333333333	503.131578947	393.278481013	305.05	281.428571429	264.0	231.0	258.30952381
alpha_rarefaction_2788_7.txt	2788	7	440.053571429	382.267857143	527.934782609	522.058823529	404.486486486	259.545454545	340.608695652	300.956521739	227.333333333	245.777777778
alpha_rarefaction_2788_8.txt	2788	8	430.610169492	413.865384615	444.529411765	509.272727273	435.09375	224.222222222	317.053571429	259.162162162	234.035714286	317.12
alpha_rarefaction_2788_9.txt	2788	9	415.103448276	365.444444444	482.566037736	494.0	377.223684211	237.0	309.32	231.206896552	201.794117647	248.162790698
alpha_rarefaction_3251_0.txt	3251	0	409.047619048	418.226415094	482.185185185	510.0	410.0	263.75	313.8	281.870967742	220.774193548	228.692307692
