	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_3251_6.txt	3251	6	306.0	275.0	307.0	362.0	329.0	165.0	248.0	187.0	177.0	193.0
alpha_rarefaction_3251_7.txt	3251	7	310.0	264.0	305.0	354.0	335.0	171.0	258.0	175.0	182.0	202.0
alpha_rarefaction_3251_8.txt	3251	8	306.0	270.0	298.0	355.0	335.0	172.0	248.0	192.0	178.0	203.0
alpha_rarefaction_3251_9.txt	3251	9	308.0	270.0	300.0	369.0	327.0	178.0	252.0	183.0	177.0	194.0
alpha_rarefaction_3714_0.txt	3714	0	331.0	286.0	327.0	388.0	343.0	183.0	255.0	192.0	190.0	214.0
alpha_rarefaction_3714_1.txt	3714	1	323.0	283.0	321.0	385.0	336.0	180.0	259.0	194.0	185.0	206.0
alpha_rarefaction_3714_2.txt	3714	2	328.0	285.0	324.0	387.0	341.0	184.0	256.0	187.0	188.0	207.0
alpha_rarefaction_3714_3.txt	3714	3	327.0	282.0	320.0	380.0	347.0	176.0	257.0	194.0	183.0	212.0
alpha_rarefaction_3714_4.txt	3714	4	320.0	295.0	331.0	391.0	342.0	180.0	255.0	193.0	187.0	209.0
alpha_rarefaction_3714_5.txt	3714	5	316.0	291.0	319.0	385.0	343.0	178.0	261.0	189.0	183.0	215.0
alpha_rarefaction_3714_6.txt	3714	6	325.0	296.0	328.0	386.0	342.0	178.0	256.0	193.0	187.0	204.0
alpha_rarefaction_3714_7.txt	3714	7	315.0	287.0	324.0	389.0	345.0	185.0	257.0	203.0	185.0	210.0
alpha_rarefaction_3714_8.txt	3714	8	326.0	285.0	324.0	389.0	342.0	188.0	264.0	194.0	184.0	207.0
alpha_rarefaction_3714_9.txt	3714	9	324.0	283.0	329.0	379.0	346.0	181.0	259.0	196.0	186.0	208.0
alpha_rarefaction_4177_0.txt	4177	0	334.0	305.0	347.0	402.0	356.0	192.0	269.0	205.0	192.0	216.0
alpha_rarefaction_4177_1.txt	4177	1	337.0	303.0	341.0	402.0	358.0	191.0	273.0	203.0	192.0	219.0
alpha_rarefaction_4177_2.txt	4177	2	335.0	301.0	343.0	407.0	358.0	189.0	268.0	199.0	194.0	221.0
alpha_rarefaction_4177_3.txt	4177	3	339.0	301.0	341.0	400.0	357.0	190.0	266.0	205.0	196.0	218.0
alpha_rarefaction_4177_4.txt	4177	4	336.0	300.0	342.0	406.0	357.0	181.0	267.0	203.0	195.0	218.0
alpha_rarefaction_4177_5.txt	4177	5	340.0	303.0	345.0	406.0	357.0	195.0	268.0	205.0	193.0	218.0
alpha_rarefaction_4177_6.txt	4177	6	331.0	307.0	341.0	405.0	356.0	188.0	270.0	204.0	197.0	219.0
alpha_rarefaction_4177_7.txt	4177	7	339.0	305.0	335.0	404.0	358.0	185.0	267.0	200.0	189.0	217.0
alpha_rarefaction_4177_8.txt	4177	8	342.0	303.0	339.0	402.0	361.0	187.0	272.0	200.0	194.0	221.0
alpha_rarefaction_4177_9.txt	4177	9	335.0	300.0	345.0	409.0	358.0	191.0	268.0	203.0	193.0	218.0
alpha_rarefaction_4640_0.txt	4640	0	349.0	n/a	n/a	n/a	n/a	199.0	278.0	210.0	196.0	223.0
alpha_rarefaction_4640_1.txt	4640	1	349.0	n/a	n/a	n/a	n/a	193.0	278.0	211.0	198.0	222.0
alpha_rarefaction_4640_2.txt	4640	2	349.0	n/a	n/a	n/a	n/a	199.0	278.0	209.0	199.0	223.0
alpha_rarefaction_4640_3.txt	4640	3	348.0	n/a	n/a	n/a	n/a	197.0	278.0	209.0	197.0	222.0
alpha_rarefaction_4640_4.txt	4640	4	349.0	n/a	n/a	n/a	n/a	198.0	278.0	210.0	199.0	221.0
alpha_rarefaction_4640_5.txt	4640	5	349.0	n/a	n/a	n/a	n/a	196.0	278.0	210.0	198.0	224.0
alpha_rarefaction_4640_6.txt	4640	6	349.0	n/a	n/a	n/a	n/a	197.0	278.0	213.0	197.0	225.0
alpha_rarefaction_4640_7.txt	4640	7	348.0	n/a	n/a	n/a	n/a	197.0	278.0	208.0	197.0	222.0
alpha_rarefaction_4640_8.txt	4640	8	349.0	n/a	n/a	n/a	n/a	194.0	278.0	210.0	199.0	224.0
alpha_rarefaction_4640_9.txt	4640	9	349.0	n/a	n/a	n/a	n/a	198.0	278.0	214.0	196.0	222.0
