#NodeID	NodeType	Abundance	Color	Size	Shape
New.CleanUp.ReferenceOTU3361	otu	2.6959	p__Chloroflexi	2.6959	otu
New.CleanUp.ReferenceOTU1937	otu	8.3749	NA	8.3749	otu
New.CleanUp.ReferenceOTU1938	otu	3.0576	NA	3.0576	otu
243579	otu	4.0258	p__Actinobacteria	4.0258	otu
New.CleanUp.ReferenceOTU2596	otu	3.0576	p__Actinobacteria	3.0576	otu
4329857	otu	21.2502	p__Proteobacteria	21.2502	otu
New.CleanUp.ReferenceOTU1445	otu	4.9926	p__Euryarchaeota	4.9926	otu
New.CleanUp.ReferenceOTU513	otu	10.5262	p__Euryarchaeota	10.5262	otu
New.CleanUp.ReferenceOTU359	otu	3.2064	p__Euryarchaeota	3.2064	otu
New.CleanUp.ReferenceOTU2356	otu	3.1051	p__Chloroflexi	3.1051	otu
New.CleanUp.ReferenceOTU2354	otu	5.3264	p__Actinobacteria	5.3264	otu
New.CleanUp.ReferenceOTU2684	otu	4.7513	p__Cyanobacteria	4.7513	otu
New.CleanUp.ReferenceOTU2686	otu	3.1051	p__Planctomycetes	3.1051	otu
New.CleanUp.ReferenceOTU2680	otu	3.6331	p__Cyanobacteria	3.6331	otu
New.CleanUp.ReferenceOTU2682	otu	10.0899	p__Actinobacteria	10.0899	otu
New.CleanUp.ReferenceOTU3175	otu	2.947	p__Chloroflexi	2.947	otu
4469401	otu	25.5643	p__Proteobacteria	25.5643	otu
New.CleanUp.ReferenceOTU3170	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU1817	otu	3.7383	p__Euryarchaeota	3.7383	otu
New.CleanUp.ReferenceOTU1309	otu	8.4706	p__Euryarchaeota	8.4706	otu
New.CleanUp.ReferenceOTU1308	otu	4.9926	p__Euryarchaeota	4.9926	otu
New.CleanUp.ReferenceOTU3082	otu	2.6959	NA	2.6959	otu
New.CleanUp.ReferenceOTU3083	otu	4.8188	p__Chloroflexi	4.8188	otu
New.CleanUp.ReferenceOTU3084	otu	4.0258	p__Chloroflexi	4.0258	otu
New.CleanUp.ReferenceOTU3085	otu	2.6959	p__Actinobacteria	2.6959	otu
New.CleanUp.ReferenceOTU2578	otu	4.7089	NA	4.7089	otu
New.CleanUp.ReferenceOTU2576	otu	3.0576	p__Actinobacteria	3.0576	otu
New.CleanUp.ReferenceOTU2575	otu	5.3213	p__Chloroflexi	5.3213	otu
New.CleanUp.ReferenceOTU2571	otu	3.0576	p__Chloroflexi	3.0576	otu
New.CleanUp.ReferenceOTU253	otu	9.2112	NA	9.2112	otu
New.CleanUp.ReferenceOTU2777	otu	4.485	NA	4.485	otu
New.CleanUp.ReferenceOTU651	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU1782	otu	4.6832	p__Euryarchaeota	4.6832	otu
New.CleanUp.ReferenceOTU583	otu	6.2229	p__Euryarchaeota	6.2229	otu
New.CleanUp.ReferenceOTU582	otu	4.7892	p__Euryarchaeota	4.7892	otu
New.CleanUp.ReferenceOTU585	otu	9.0267	p__Euryarchaeota	9.0267	otu
New.CleanUp.ReferenceOTU586	otu	10.7903	p__Euryarchaeota	10.7903	otu
New.CleanUp.ReferenceOTU105	otu	8.3531	NA	8.3531	otu
New.CleanUp.ReferenceOTU104	otu	8.1495	p__Chloroflexi	8.1495	otu
New.CleanUp.ReferenceOTU107	otu	8.8027	p__Chloroflexi	8.8027	otu
New.CleanUp.ReferenceOTU106	otu	6.6907	p__Chloroflexi	6.6907	otu
New.CleanUp.ReferenceOTU101	otu	7.7321	p__Planctomycetes	7.7321	otu
New.CleanUp.ReferenceOTU100	otu	5.8974	NA	5.8974	otu
New.CleanUp.ReferenceOTU103	otu	11.4748	NA	11.4748	otu
New.CleanUp.ReferenceOTU102	otu	6.2471	p__Planctomycetes	6.2471	otu
New.CleanUp.ReferenceOTU109	otu	7.7321	p__[Thermi]	7.7321	otu
New.CleanUp.ReferenceOTU108	otu	7.9076	p__Gemmatimonadetes	7.9076	otu
226516	otu	5.4205	p__Proteobacteria	5.4205	otu
New.CleanUp.ReferenceOTU1461	otu	5.4509	p__Euryarchaeota	5.4509	otu
1060474	otu	3.3528	p__Actinobacteria	3.3528	otu
New.CleanUp.ReferenceOTU3554	otu	4.0258	p__Actinobacteria	4.0258	otu
New.CleanUp.ReferenceOTU1334	otu	12.4302	p__Euryarchaeota	12.4302	otu
New.CleanUp.ReferenceOTU1335	otu	3.2943	p__Euryarchaeota	3.2943	otu
New.CleanUp.ReferenceOTU1336	otu	3.8294	p__Euryarchaeota	3.8294	otu
New.CleanUp.ReferenceOTU698	otu	4.0678	NA	4.0678	otu
New.CleanUp.ReferenceOTU1332	otu	7.6203	p__Euryarchaeota	7.6203	otu
New.CleanUp.ReferenceOTU695	otu	2.9943	NA	2.9943	otu
New.CleanUp.ReferenceOTU694	otu	2.9943	p__Actinobacteria	2.9943	otu
New.CleanUp.ReferenceOTU1480	otu	6.1368	p__Euryarchaeota	6.1368	otu
New.CleanUp.ReferenceOTU691	otu	4.8972	p__Actinobacteria	4.8972	otu
New.CleanUp.ReferenceOTU1339	otu	3.0576	p__Cyanobacteria	3.0576	otu
New.CleanUp.ReferenceOTU368	otu	8.3687	p__Gemmatimonadetes	8.3687	otu
New.CleanUp.ReferenceOTU363	otu	6.4104	NA	6.4104	otu
New.CleanUp.ReferenceOTU362	otu	21.2383	p__Euryarchaeota	21.2383	otu
New.CleanUp.ReferenceOTU219	otu	4.5252	p__Euryarchaeota	4.5252	otu
New.CleanUp.ReferenceOTU218	otu	5.3451	p__Euryarchaeota	5.3451	otu
New.CleanUp.ReferenceOTU749	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU211	otu	3.6331	p__Chloroflexi	3.6331	otu
New.CleanUp.ReferenceOTU210	otu	8.478	NA	8.478	otu
New.CleanUp.ReferenceOTU213	otu	4.6832	p__Euryarchaeota	4.6832	otu
New.CleanUp.ReferenceOTU212	otu	7.038	p__Euryarchaeota	7.038	otu
New.CleanUp.ReferenceOTU215	otu	4.6832	p__Euryarchaeota	4.6832	otu
New.CleanUp.ReferenceOTU214	otu	4.9939	p__Euryarchaeota	4.9939	otu
New.CleanUp.ReferenceOTU217	otu	3.7383	p__Euryarchaeota	3.7383	otu
New.CleanUp.ReferenceOTU216	otu	8.9266	p__Euryarchaeota	8.9266	otu
4333805	otu	9.5541	p__Bacteroidetes	9.5541	otu
New.CleanUp.ReferenceOTU966	otu	12.4277	p__Cyanobacteria	12.4277	otu
New.CleanUp.ReferenceOTU1155	otu	2.9943	p__Chloroflexi	2.9943	otu
New.CleanUp.ReferenceOTU960	otu	7.8078	p__Chloroflexi	7.8078	otu
New.CleanUp.ReferenceOTU969	otu	4.2033	p__Chloroflexi	4.2033	otu
New.CleanUp.ReferenceOTU2918	otu	8.3687	p__Gemmatimonadetes	8.3687	otu
New.CleanUp.ReferenceOTU2910	otu	3.2046	NA	3.2046	otu
104265	otu	5.5177	p__Actinobacteria	5.5177	otu
250371	otu	2.947	p__Gemmatimonadetes	2.947	otu
New.CleanUp.ReferenceOTU2899	otu	6.1516	p__Cyanobacteria	6.1516	otu
New.CleanUp.ReferenceOTU1763	otu	3.0576	p__Actinobacteria	3.0576	otu
New.CleanUp.ReferenceOTU3886	otu	3.3528	p__Actinobacteria	3.3528	otu
New.CleanUp.ReferenceOTU2173	otu	3.8899	p__Chloroflexi	3.8899	otu
New.CleanUp.ReferenceOTU2172	otu	6.5018	p__Cyanobacteria	6.5018	otu
New.CleanUp.ReferenceOTU2213	otu	7.8378	p__Cyanobacteria	7.8378	otu
