#Sample	OTU	Abundance
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1972	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU189	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU188	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2319	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2314	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU184	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU187	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU122	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU182	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1990	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1991	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2401	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2409	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2531	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1999	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2623	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU66	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2406	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1190	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU453	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2088	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2083	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2834	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1965	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU522	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2322	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2323	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU911	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1989	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1982	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1981	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2432	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2430	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2507	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2753	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2613	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU56	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU58	5.5431
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1366	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1364	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU884	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2433	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2629	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU60	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU148	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2052	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2650	6.4668
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2008	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2425	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2517	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU43	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU42	7.5783
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU41	5.8588
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU40	5.8588
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU47	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU45	6.1177
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2602	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1341	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1876	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2196	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2190	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2192	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU5	10.142
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU613	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU8	7.7664
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU9	9.587
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2458	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2452	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1963	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2299	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2498	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU448	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU30	8.4388
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2658	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2395	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2702	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2086	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU190	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2078	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2079	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2073	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2070	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2071	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1880	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU518	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU169	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2440	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2446	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU167	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU166	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU84	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU163	5.1383
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU81	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1862	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU22	6.7979
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2667	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2669	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1407	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2711	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2844	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2841	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2840	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1660	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU605	5.6562
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2061	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2069	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1896	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1898	2.2637
