#NodeID	NodeType	Abundance	k	p	c	o	f
New.CleanUp.ReferenceOTU3084	otu	4.0258	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU3085	otu	2.6959	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae
New.CleanUp.ReferenceOTU2578	otu	4.7089	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU3089	otu	2.6959	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU2575	otu	5.3213	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU2571	otu	3.0576	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU319	otu	3.2064	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU253	otu	9.2112	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU722	otu	2.9943	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU2777	otu	4.485	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU651	otu	2.9943	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU583	otu	6.2229	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU582	otu	4.7892	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU105	otu	8.3531	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU104	otu	8.1495	k__Bacteria	p__Chloroflexi	c__Gitt-GS-136	o__	f__
New.CleanUp.ReferenceOTU107	otu	8.8027	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU106	otu	6.6907	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	f__
New.CleanUp.ReferenceOTU101	otu	7.7321	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__
New.CleanUp.ReferenceOTU100	otu	5.8974	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU103	otu	11.4748	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU102	otu	6.2471	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae
New.CleanUp.ReferenceOTU109	otu	7.7321	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Trueperaceae
New.CleanUp.ReferenceOTU108	otu	7.9076	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3	o__	f__
New.CleanUp.ReferenceOTU3554	otu	4.0258	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
New.CleanUp.ReferenceOTU1334	otu	12.4302	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU1335	otu	3.2943	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
