OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
151936	8.95984716897687	-3.41312750606248	0.869886173197946	-3.92364841656796	8.72179925035301e-05	0.000488049617626136	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU18	80.7534943562916	4.11303758115665	1.05239836447209	3.90825158990042	9.29664682167772e-05	0.000509378773771092	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__
401798	16.656126147457	3.53887061147159	0.907039395848424	3.9015621897673	9.55739001072141e-05	0.000512978280167292	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
New.CleanUp.ReferenceOTU11	44.1100168318861	3.94691210377176	1.02123516287568	3.86484156367837	0.000111161332542473	0.000584708609173409	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU6	64.327107879834	4.03193700529002	1.04543928478876	3.85669169310459	0.000114931973404033	0.000592688411867854	k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Acaryochloridaceae; g__Acaryochloris; s__
New.CleanUp.ReferenceOTU343	6.31784095248369	-3.07852287333326	0.80104004373909	-3.84315727708611	0.000121461574965334	0.000614315273382361	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
828826	19.5278720349496	3.600981921974	0.939512123698477	3.83282113252397	0.000126682065711314	0.000628629873246707	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__
2147801	9.53419634647539	-3.42690318630971	0.898460767715882	-3.81419346224964	0.000136628408436681	0.000665430952200871	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
2020092	39.515223411898	3.87130096253153	1.01901090270569	3.79907707783341	0.000145235922426978	0.000694491774514457	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__
New.CleanUp.ReferenceOTU1414	8.04088848497925	-3.27188668031026	0.871556936092415	-3.75407107076632	0.000173985497395359	0.000817110460981775	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU16	32.6230332819158	3.77472689795298	1.00837680657269	3.7433694164215	0.000181568982126319	0.000837765654372316	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU0	520.475224649157	4.0814287049254	1.09483739297279	3.7278857400396	0.000193092880092667	0.000875576335592612	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__
